Wed Mar 23 2022 13:57:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:57:53 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:58:34 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:58:41 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:58:44 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:58:59 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:59:22 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 13:59:23 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:01:07 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:01:15 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:01:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:01:54 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:02:16 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:02:34 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:02:37 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:03:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:04:00 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:04:29 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:05:19 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:05:22 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:05:39 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:06:42 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:07:56 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:08:10 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:08:47 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:08:52 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:08:55 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:09:25 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:11:31 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:11:49 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:12:05 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:13:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:13:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:13:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:02 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:13 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:35 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:14:56 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:04 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:17 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:23 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:28 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:42 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:53 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:15:55 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:16:06 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:16:14 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:16:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:16:24 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:17:17 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:17:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:06 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:06 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:20 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:29 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:33 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:18:59 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:02 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:05 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:26 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:28 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:33 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:36 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:43 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:19:50 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:20:04 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:20:18 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:20:35 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:20:40 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:20:51 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:21:08 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:21:10 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:21:26 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:21:39 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:21:51 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:23:40 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:23:42 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:23:48 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:24:10 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
Wed Mar 23 2022 14:24:15 GMT+0800 (China Standard Time) | INFO | uom-api.log | API: /getAllUOM | data:{"message":"API Done","total":10,"status":true} | 
