Wed Mar 23 2022 13:58:34 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:58:41 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:58:42 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:58:44 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:58:44 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getAllTypeItem | data:{"message":"API Done","total":380,"status":true} | 
Wed Mar 23 2022 13:58:59 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:59:02 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":11,"status":true} | 
Wed Mar 23 2022 13:59:09 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:59:22 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:59:23 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 13:59:25 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 13:59:28 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":12,"status":true} | 
Wed Mar 23 2022 14:00:32 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":2,"status":true} | 
Wed Mar 23 2022 14:01:07 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 14:01:08 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:01:15 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":4,"status":true} | 
Wed Mar 23 2022 14:01:17 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:01:47 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:01:54 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:02:16 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:02:35 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":8,"status":true} | 
Wed Mar 23 2022 14:02:37 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 14:03:48 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 14:04:00 GMT+0800 (China Standard Time) | INFO | type-item-api.log | API: /getTypeItemByCategory | data:{"message":"API Done","total":0,"status":true} | 
