Wed Mar 23 2022 11:54:07 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:54:13 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:54:37 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:55:08 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:55:13 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:55:20 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:56:48 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:56:48 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:56:55 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:56:55 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:56:59 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":803,"value":3,"status":true} | 
Wed Mar 23 2022 11:57:16 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":0,"status":true} | 
Wed Mar 23 2022 11:57:20 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:38 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:40 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:45 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:46 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:51 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:57:51 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:03 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:03 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:08 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:09 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:41 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:41 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:45 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:58:46 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:00 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:01 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:08 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:08 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:20 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:20 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:25 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:26 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:30 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:30 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:32 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:33 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:36 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:36 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:41 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:41 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:47 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:56 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 11:59:56 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:00 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:00 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:06 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:07 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:16 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:17 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:21 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:26 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:31 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:32 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:36 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:39 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:44 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:49 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:51 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:55 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:56 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:58 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:00:59 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:04 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:09 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
Wed Mar 23 2022 12:01:10 GMT+0800 (China Standard Time) | INFO | standardparts-api.log | API: /getSPByCategory | data:{"message":"API Done","total":1563,"value":1,"status":true} | 
